Film,Director,urlmubi,Urlverification
Día seis,Juan Pablo Arroyo Abraham,https://mubi.com/es/films/the-6th-day,0
Aquí sigo,Lorenzo Hagerman,https://mubi.com/es/films/still-here,1
Los paisajes,Rodrigo Cervantes,https://mubi.com/es/films/landscapes-2022,1
William El nuevo maestro del judo,Ricardo Silva  Omar Guzmán,https://mubi.com/es/films/william-the-new-judo-master,1
Un caballo llamado Elefante,Andrés Waissbluth,,
Bruma,Max Zunino,https://mubi.com/es/films/bruma,1
Llegando a casa Rayados de Monterrey,Fernando Kalife,,
Conversaciones con Mono Blanco,Jaime Cruz,https://mubi.com/es/films/conversaciones-con-un-mono,1
Soneros son,Jorge Curioca,,
Oso polar,Marcelo Tobar,https://mubi.com/es/films/polar-bear,1
Tipo de cambio,Sharon Alpuche,https://mubi.com/es/memberships,0
A pie,Silverio Palacios,https://mubi.com/es/films/pie,1
Casa caracol,Jean-Marc Rousseau Ruiz,https://mubi.com/es/films/casa-caracol,1
Túnel 19,Pitipol Ybarra,https://mubi.com/es/films/the-tunnel-2019,0
Yuanfen,Rafael Reséndiz Durán,,
El vecino,Giancarlo Ruiz,https://mubi.com/es/films/el-vecino,1
Heroyna,Alejandro Solórzano Garibaldi,https://mubi.com/es/films/heroina,0
Julián,Izrael Moreno,https://mubi.com/es/films/julian,0
La jaula,Juan Pablo Blanco,https://mubi.com/es/films/la-jaula,0
Los que no saben volar,Hill Díaz,https://mubi.com/es/films/birds-or-how-to-be-one,1
Morir de amor,Jorge Araujo,https://mubi.com/es/films/to-die-of-love,0
Nocturno,Luis Ayhllón Flores,https://mubi.com/es/films/nocturne-2020,0
Nunca jures por la luna,Teo Martínez,,
Ovnis en Zacapa,Marcos Machado Loría,,
Palomar,Luis R. Garza,https://mubi.com/es/cast/rosa-palomar,0
Sinestesia,Rodrigo Ortega Ortuño,https://mubi.com/es/films/synesthesia,0
Yacuna El amor a la vida,Eustaquio del Río,,
Zanjas,Francisco Joaquín Paparella,https://mubi.com/es/films/ditches,1
Plan Virgen,Roberto Fiesco,https://mubi.com/es/films/hail-mary,0
Alba,Ana Cristina Barragán,https://mubi.com/es/films/alba-2016,1
Baño de vida,Dalia R. Reyes,https://mubi.com/es/films/bano-de-vida,1
Mi sangre enarbolada,Luis Palomino Benítez,,
El ocaso de las diosas,Carlos Mignon,https://mubi.com/es/films/el-ocaso-de-las-diosas,1
Lupe bajo el sol,Rodrigo Reyes,https://mubi.com/es/films/lupe-under-the-sun,1
Pacífico,Fernanda Romandía,https://mubi.com/es/films/pacifico,1
El Alien y yo,Jesús Magaña Vázquez,https://mubi.com/es/films/the-alien,1
La vida inmoral de la pareja ideal,Manolo Caro,https://mubi.com/es/films/the-immoral-life-of-the-perfect-couple,1
La leyenda del Chupacabras,Alberto Rodríguez,https://mubi.com/es/films/la-leyenda-del-chupacabras,1
Sin dios y sin diablo. Jaime Sabines y sus lectores,Claudio Isaac,,
Un padre no tan padre (antes/previously El patriarca),Raúl Martínez,https://mubi.com/es/films/un-padre-no-tan-padre,1
Mientras el lobo no está,Joseph Hemsani,https://mubi.com/es/films/when-the-wolf-is-not-around,0
Helena (antes/previously Julieta),Alejandro Sugich,https://mubi.com/es/films/julieteta,1
Tus feromonas me matan,Juan Carlos de Llaca,,
Mis demonios nunca juraron soledad,Jorge Leyva,,
La pierde almas (antes/previously Moronga),John Dickie,,
La voz de un sueño (antes/previously Gotas de Rocío),Analeine Cal y Mayor Martínez del Cerro,https://mubi.com/es/cast/rocio-lara,0
La negrada (Black People),Jorge Pérez Solano,https://mubi.com/es/films/black-mexicans,1
Hasta los dientes,Alberto Saúl Arnaut Estrada,https://mubi.com/es/films/armed-to-the-teeth,1
Día de Muertos,Danny Huston,https://mubi.com/es/films/day-of-the-dead,0
El guardián de la memoria,Marcela Arteaga Esquerra,https://mubi.com/es/films/the-guardian-of-memory,1
La promesa,Óscar Alberto Blancarte,https://mubi.com/es/films/la-promesse,0
El filósofo y los toros (antes/previously Un filósofo en la arena),Aarón Fernández  Jesús Muñoz,https://mubi.com/es/films/a-philosopher-in-the-arena,1
3 idiotas,Carlos Bolado,https://mubi.com/es/films/3-idiots,0
La gran promesa (antes/previously Caja oscura),Jorge Ramírez Suárez,https://mubi.com/es/films/the-camera-obscura,0
Camino a Marte,Humberto Hinojosa,https://mubi.com/es/films/road-to-mars,1
Los adioses (antes/previously Guerra),Natalia Beristáin,https://mubi.com/es/films/los-adioses,1
Amanda (antes/previously Cómo cortar a tu patán),Gabriela Tagliavini,,
Cómo matar a un esposo difunto,Conrado Martínez,https://mubi.com/es/films/como-matar-a-un-esposo-muerto,1
El día del temblor (antes/previously 1985),Kuno Becker,https://mubi.com/es/films/nineteen-nineteen,0
¡Como va! Lo más sencillo es complicarlo todo,René Bueno,https://mubi.com/films/lo-mas-sencillo-es-complicarlo-todo,1
Todos aman a alguien,Catalina Aguilar Mastretta,https://mubi.com/es/films/talk-of-the-town,0
Restos de viento,Ximena Montemayor,,
Las siete muertes (antes/previously Las muertes de Lucía B),Gerardo Herrero,https://mubi.com/es/films/lucia,0
Café: alma y resistencia,Alejandro Díaz San Vicente,https://mubi.com/es/films/on-body-and-soul,1
Torre,Juan Obregón,https://mubi.com/es/cast/raul-de-la-torre,0
Coatí,Rodrigo Pérez Castro,https://mubi.com/es/films/koati,1
Noches de julio,Axel Mishael Muñoz Barba,https://mubi.com/es/films/the-night-2021,1
Ciudad,Carlos Federico Rossini  Everardo González Reyes  Nicolás Echeverría Ortiz  Tatiana Ixquic Huezo Sánchez  Paul Leduc Rosenzweig,https://mubi.com/es/films/ciudad,
Roma,Alfonso Cuarón,https://mubi.com/es/films/roma-2017,1
El vendedor de orquídeas,Lorenzo Vigas,https://mubi.com/es/films/the-orchid-seller,1
Tote (Abuelo),María Dolores Arias,,
Mover un río,Alba Herrera Rivas,,
Gone Missing. El último viaje de Juan Viejo,Till Cöster,https://mubi.com/es/films/gone-missing,0
Zama,Lucrecia Martel,https://mubi.com/es/films/zama,1
Guerrero,Ludovic Bonleux,https://mubi.com/films/guerrero-2016,0
Maricarmen,Sergio Adrián Morkin,https://mubi.com/es/films/maricarmen,1
Notas para no olvidar,Hatuey Joaquín Viveros,https://mubi.com/es/films/an-exercise-to-never-forget,0
Una corriente salvaje,Nuria Ibáñez Castañeda,https://mubi.com/es/films/a-wild-stream,1
Laberinto Yoéme,Sergi Pedro Ros,,
La ley del monte,Mario Mandujano,,
El refugio de los insomnes,José Giordano,https://mubi.com/es/films/el-club-de-los-insomnes,1
Takeda,Yaasib Álvaro Vázquez,https://mubi.com/es/cast/shinji-takeda,0
Rita,Arturo Díaz Santana,https://mubi.com/es/films/rita-2012,0
Mente revólver,Alejandro Ramírez Corona,https://mubi.com/es/films/revolver-mind,1
El baile y el salón,Iván Porras,https://mubi.com/es/films/the-ballroom,0
Un buen sabor de boca,Jaime Humberto Hermosillo,https://mubi.com/es/films/bitter-daisies,0
Opus Zero,Daniel Graham,https://mubi.com/es/films/opus-zero,1
La boda de Valentina,Marcopolo Constance,https://mubi.com/es/films/la-boda-de-valentina,1
La misma sangre,Ángel Linares,https://mubi.com/es/films/luciano-serra-pilot,0
Cría puercos,Ehécatl García Jiménez,https://mubi.com/es/films/esmeralda-s-twilight,1
A ti te quería encontrar,Javier Colinas,,
Escuela para seductores,Giovanna Zacarías,,
Rush Hour,Luciana Kaplan,https://mubi.com/es/films/rush-hour-1941,0
Cuando los hijos regresan,Hugo Lara,https://mubi.com/es/films/cuando-los-hijos-regresan,1
Moctezuma y yo,Issa López,https://mubi.com/es/cast/juan-lopez-moctezuma,0
Viviana Rocco. Yo trans,Daniel Reyes,,
Dispositio,Nila Guiss,https://mubi.com/es,0
Los años azules,Sofía Gómez Córdova,https://mubi.com/es/films/the-blue-years,1
Silenciosa,Sofía Medrano,https://mubi.com/es/films/silent-light,1
Ayotzinapa 26,Fernando Eimbcke  Abraham Escobedo Salas  Dr. Alderete  Paula Markovitch  Aarón Fernández  Julien Devaux  François Olislaeger  Bruno Bichir  Hari Sama  Kenya Márquez  Alberto Reséndiz  Sebastián Hoffman  Jorge Bolado  Pablo Fulguería  Lucía Gajá  Ludovic Bonleux  Mariana Rodríguez  Christine Burkhard  Alex Noppel  Marcello Sahea  Ricardo del Conde  Viviana García.,https://mubi.com/es/films/ayotzinapa-26,1
Algo de todos,Isabel María,https://mubi.com/es/films/something-borrowed,0
Humboldt en México. La mirada del explorador,Ana Cruz Navarro,https://mubi.com/es/films/the-gaze-of-the-explorer-humboldt-in-mexico,1
Mientras se espera,Paola Villanueva,https://mubi.com/es/films/long-way-home,1
American Curious,Gabylú Lara,,
Donde se quedan las cosas,Daniela Silva Solórzano,https://mubi.com/es/films/the-misfortunates,0
A toca do lobo,Catarina Mourão,https://mubi.com/es/films/the-wolf-s-lair,1
Entre pasos y sonidos,Elizabeth Piña Hernández,https://mubi.com/es/films/birds-or-how-to-be-one,1
Los quijotes de la marcha,Florencia Davidzon,https://mubi.com/es/films/don-quixote-de-la-mancha,0
País desfragmentado y desigual. De los derechos a los hechos,Araceli Martínez Pérez,,
Qué comience la función,Mayra Alejandra Toscano Villicaña,https://mubi.com/es/about,0
La nueva Medellín,Catalina Villar,,
Sonali,Paulina Urreta,https://mubi.com/es/cast/sonali-bendre,0
Suelo mirar al cielo,Liliana Cortés González,https://mubi.com/es/films/what-do-we-see-when-we-look-at-the-sky,1
Por donde pasa el diablo,Sofía Castillo  Margot Florestorre,https://mubi.com/es/films/les-cinq-diables,1
Sobre tus huellas,Luis Yduñate,,
El sonido de las células,Martín Amilcar,https://mubi.com/es/lists/the-importance-of-sound,0
Mi padrino,Beto Gómez,https://mubi.com/es/films/the-godfather-part-iii,0
Ni un minuto que perder,Luis Eduardo Reyes,https://mubi.com/users/3642673,0
Territorio Leonora,Gibrán Bazán,,
Welcome to Acapulco,Guillermo Iván,https://mubi.com/es/films/welcome-to-acapulco,1
Paraíso en Auschwitz,Aarón Cohen,,
Desayuno de perros (Dog ́s Breakfast),Rich Valverde,https://mubi.com/es/films/a-dogs-breakfast,0
El lugar de las flores,Héctor I. Jiménez,https://mubi.com/es/films/isle-of-flowers,0
El ruiseñor y la noche. Chavela Vargas canta a Lorca,Rubén Rojo Aura,,
Norte estrecho,Omar L. Villarroel,https://mubi.com/es/films/northern-skies-over-empty-space,1
Nueva Venecia,Emiliano Mazza de Luca,https://mubi.com/es/films/nueva-venecia,1
Pies ligeros,Juan Carlos Núñez Chavarría,https://mubi.com/es/films/lorena-light-footed-woman,1
Shih,Bruno Zafforra  Rafael Ortega,https://mubi.com/es/cast/kien-shih,0
La coartada perfecta (The Hit Producer),Kevin de la Isla,,
Historia de dos que soñaron,Nicolás Pereda  Andrea Bussmann,,
Histeria,Carlos Meléndez,https://mubi.com/es/films/histeria,0
Malacrianza,Arturo Menéndez,https://mubi.com/es/films/the-crow-s-nest,0
Forward,Henry Bedwell,https://mubi.com/es/films/forward-2019,0
Las letras,Pablo Chavarría Gutiérrez,https://mubi.com/es/films/the-alphabet,0
La niña de la mina,Jorge Eduardo Ramírez,https://mubi.com/es/films/la-nina-de-la-mina,1
Pink,Paco del Toro,https://mubi.com/es/cast/pink,0
Teokari Compañero de camino,Salvador Espinosa Orozco,,
Erosión,Carlos Underwood  Sergio Santiago,https://mubi.com/es/films/erosion,0
Mirar morir El ejército en la noche de Iguala,Coizta Grecko,,
Eva no duerme,Pablo Argüero,https://mubi.com/es/films/eva-doesn-t-sleep,1
Mañana psicotrópica,Alexandro Aldrete,https://mubi.com/es/films/psychotropic-sunrise,1
Pistola de juguete,Adolfo López,,
Las aventuras de Itzel y Sonia (antes/previously Itzel y Sonia en busca de los Guardianes del Agua),Fernanda Rivero Gutiérrez,,
Minezota,Carlos Enderle,https://mubi.com/es/films/minnesota-clay,0
3 mujeres (o despertando de mi sueño bosnio) 3 zene (or Waking Up From My Bosnian Dream),Sergio Flores Thorija,https://mubi.com/es/films/3-zene-or-waking-up-from-my-bosnian-dream,1
La selva negra,Saúl Kak  Charles Fairbanks,https://mubi.com/es/films/the-modern-jungle,1
Mientras se busca al diablo,Danniel Danniel  Diego Gutiérrez,https://mubi.com/es/films/les-cinq-diables,0
Mexicanos de bronce,Julio Jesús Fernández Talamantes,,
Santa Teresa y otras historias,Nelson de los Santos Arias,https://mubi.com/es/films/santa-teresa-and-other-stories,1
"Treintona, soltera y fantástica",Chava Cartas,https://mubi.com/es/films/treintona-soltera-y-fantastica,1
La vieja escuela,Alejandro Soltero,,
El chico de Oklahoma,Julio Carlos Ramos Zapata,https://mubi.com/es/films/the-oklahoma-kid,0
Panoramas,Rodrigo Guardiola  Gabriel Cruz Rivas,https://mubi.com/es/films/zoe-panoramas,1
Bonsai,Alex Andonie,https://mubi.com/es/films/bonsai-2016,1
El salmón,Janett Juárez  Ricardo Martez,https://mubi.com/es/films/salmon,0
Casi paraíso,Pablo Narezo,https://mubi.com/es/cast/mariana-chenillo,0
La muñeca fea,Claudia López García  George Reyes,https://mubi.com/es/films/welcome-to-the-dollhouse,0
Te prometo nunca regresar,Pepe Gutiérrez García,https://mubi.com/es/films/i-promise-you-never-to-come-back,1
El navegante de fin de semana (The Weekend Sailor),Bernardo Arsuaga,https://mubi.com/es/films/the-weekend-sailor,1
En la periferia,Alberto Zúñiga Rodríguez,https://mubi.com/es/films/periferia,1
El mural no es como lo pintan,Paula Calzada  Héctor Falcón Villa  Karol Yáñez,,
La huésped,Pedro Pablo de Antuñano Padilla,https://mubi.com/es/films/the-host-2013,0
Allá en la Costa Grande,Érick Rams,,
El ombligo del cocoshle,David Antonio Martínez Pinacho,,
El tercer espacio,Nejemye Tenenbaum,,
Bastidores,Anaïs Huerta  Carlos Mignon  Bruno Bancalari  Paulina del Paso  Raúl Cuesta  Rodrigo VVG  Carlos Muñoz  Juliana Gómez,https://mubi.com/es/films/back-stage,0
Hermanos,Laura Plancarte,https://mubi.com/es/films/brothers-2009,0
Vidas con sabor,Pablo Gasca Gollás,https://mubi.com/es/lists/%E2%99%A9,0
Las reglas de la ruina,Víctor Osuna,https://mubi.com/es/films/slaughterhouse-rulez,1
Nerdertal,Ricardo Gómez Villanueva,https://mubi.com/es/films/neandertal,0
Jondo,Alfredo Ruiz,https://mubi.com/users/7088044,0
Poor People Relax Me,Miguel Ferráez  Clara Winter,,
Cuando la vida no vale nada El mural,Ricardo Arenas,https://mubi.com/es/films/la-vida-no-vale-nada,0
The Public Image is Rotten,Tabbert Fiiller,https://mubi.com/films/the-public-image-is-rotten,1
Calypsonians,Anghelo Taylor  Damien Prouvost,https://mubi.com/es/cast/roy-fraser-and-his-calypsonians,0
Tatami El lugar menos hostil,David Torres,,
La leyenda del Charro Negro,Alberto Rodríguez,https://mubi.com/es/films/la-leyenda-del-charro-negro,1
Detrás de la máscara La película documental de Rayo de Plata,Anubis Alejandro López Martínez,,
Le Bouquiniste (El buquinista),Gibrán Bazán,,
Feliz año Tijuana,Andrew van Baal,,
Después del azul,Octavio Gasca,https://mubi.com/es/films/three-colors-blue,0
La segunda dama,Omar Oswaldo G. Aceves,https://mubi.com/es/films/the-second-woman,0
Incertidumbre,Haroldo Fajardo,https://mubi.com/es/films/the-uncertainty-principle,0
Vlog Vampire,Mayen Briem,,
Etapas,Juan Pablo Cantú,https://mubi.com/es/films/druk,0
El callejón,Carolina Duarte,https://mubi.com/es/films/blind-alley-2011,0
Alex Winter,César Demian,https://mubi.com/es/cast/alex-winter,0
"I am God, Dogma I",Jorge Bolado,https://mubi.com/es/films/naan-kadavul,0
El día que conocí a María,Orlando Álvarez  Ariana García,,
Entraña,Jair Torres Baizabal,https://mubi.com/es/films/entrana,1
El fin de la virtud,Abel B. Zuni,https://mubi.com/es/cast/angel-luis-fernandez,0
Hale Bopp,Jarib Zagoya Montiel,,
La palabra de Pablo,Arturo Menéndez,https://mubi.com/es/films/the-power-of-speech,0
La caótica vida de Nada,Marta Hernaiz Pidal,https://mubi.com/es/films/the-chaotic-life-of-nada-kadic,1
La batalla del volcán,Julio López Fernández,https://mubi.com/es/films/under-the-volcano,0
Jazmines en Lídice,Rubén Sierra Salles,https://mubi.com/es/films/jasmines-in-lidice,1
Yo Fausto,Julio Berthely,https://mubi.com/es/films/i-faust,1
Island of the Dolls (La Isla de las muñecas),Sebastián Mantilla,https://mubi.com/es/films/island-of-the-dolls,1
Arritmia,Gibrán Bazán,https://mubi.com/es/films/arrhythmia,1
 Las hijas de Abril,Michel Franco,https://mubi.com/es/films/april-s-daughter,1
 Gente de mar y viento,Ingrid Eunice  Fabián González,,
 Al otro lado del muro,Pau Ortiz,https://mubi.com/es/films/al-otro-lado-del-mar,0
 Verónica,Carlos Algara  Alejandro Martínez Beltrán,https://mubi.com/es/films/veronica-2017,1
 Hazlo como hombre,Nicolás López,https://mubi.com/es/films/hazlo-como-hombre,1
 El silencio es bienvenido,Gabriela García Rivas,https://mubi.com/es/films/el-silencio-es-bienvenido,1
 Artemio,Sandra Luz López Barroso,https://mubi.com/es/films/artemio,1
 Witkin & Witkin. Un fotógrafo y un pintor,Trisha Ziff,https://mubi.com/es/films/witkin-witkin,1
 Casi una gran estafa,Guillermo Barba,https://mubi.com/es/films/the-hoax,0
Feral,Andrés Eichelmann Kaiser,https://mubi.com/es/films/feral-2018-andres-e-kaiser,1
Nadie sabrá nunca,Jesús Torres,https://mubi.com/es/films/no-one-will-ever-know,1
El habitante,Guillermo Amoedo,https://mubi.com/es/films/el-habitante,1
Siempre andamos caminado,Dinazar Urbina Mata,,
La compañía que guardas,Diego Gutiérrez,https://mubi.com/es/films/the-company-you-keep-2017,1
Una mujer sin filtro,Luis Eduardo Reyes,,
El sembrador,Melissa Elizondo Moreno,https://mubi.com/es/films/the-sower-2018,1
Mapa de sueños latinoamericanos,Martín Weber,https://mubi.com/es/films/mapa-de-suenos-latinoamericanos,1
Pacífico Norte,Valentina Sachetti,,
Una isla en el continente,Juan Pablo Miquirray,https://mubi.com/es/films/an-island-in-the-continent,1
La lengua de la lluvia/Tu ́un savi,Uriel López España,,
Detrás de la montaña,David R. Romay,https://mubi.com/es/films/beyond-the-mountain,1
Donde nace la vida,Carlos Reygadas,https://mubi.com/es/showing,0
El actor principal,Paula Markovitch,https://mubi.com/es/cast/benicio-del-toro,0
Clases de historia,Marcelino Islas Hernández,https://mubi.com/es/films/history-lessons-2018,1
La mala noche,Gabriela Calvache,https://mubi.com/es/films/mala-noche,0
Ricochet,Rodrigo Fiallega,https://mubi.com/es/films/ricochet-2020,1
Vaquero del medio día,Alicia Cárdenas,https://mubi.com/es/films/vaquero-del-mediodia,1
Hasta que la boda nos separe,Santiago Limón,https://mubi.com/es/films/hasta-que-la-boda-nos-separe-2020,0
Los inquilinos,Iria Gómez Concheiro,https://mubi.com/es/films/the-tenant,0
Azul intenso,Roberto Hernández Ruiz,https://mubi.com/es/films/dark-blue-world/cast,0
Los poetas del cielo,Emilio Maillé,https://mubi.com/films/poets-of-the-sky,1
Daniela y Tania,Salomón Askenazi,https://mubi.com/es/films/two-times-you,1
"Tlalocan, bajo la ciudad de los dioses",Juan Roberto Mora Catlett  Carlos Rodrigo Montes,,
Los hermanos Márquez Castillo,Mark Alazraki  Fernando Rovzar,,
Luciérnagas,Bani Khoshnoudi,https://mubi.com/es/films/luciernagas,1
Malibú,Víctor Manuel Velázquez,https://mubi.com/es/films/malibu-2020,1
Las niñas bien,Alejandra Márquez Abella,https://mubi.com/es/films/the-good-girls,1
Guachicolero,Edgar Nito,https://mubi.com/es/films/the-gasoline-thieves,1
Allá en el rancho,Rafael Montero,https://mubi.com/es/films/out-on-the-big-ranch,0
Loca por el trabajo,Luis Eduardo Reyes,,
Pájaros de verano,Ciro Guerra  Cristina Gallego,https://mubi.com/es/films/birds-of-passage,1
Asfixia,Kenya Márquez,https://mubi.com/es/films/choke,0
La marca del demonio,Armando Casas,https://mubi.com/es/films/mark-of-the-devil-2020,0
El ídolo,Erwin Neumaier,https://mubi.com/es/films/el-idolo,0
Compulsión,Batán Silva,https://mubi.com/es/films/compulsion-2017,0
Museo,Alonso Ruizpalacios,https://mubi.com/es/films/museum-2018,1
Dibujando el cielo,Ana Laura Calderón Montiel,,
El complot mongol,Sebastián del Amo,https://mubi.com/films/the-mongolian-conspiracy,1
Bayoneta,Kyzza Terrazas,https://mubi.com/es/films/bayoneta,1
La ruta de los caídos,Alejandro Springall,https://mubi.com/es/films/when-angels-fall,0
Ni tú ni yo,Noé Santillán-López,https://mubi.com/es/films/ni-tu-ni-yo,1
El pequeño gran hombre,Jorge Ramírez-Suárez,https://mubi.com/es/films/little-big-man,0
Souvenir,Armond Cohen,https://mubi.com/es/films/the-souvenir,0
Placa de acero,Abe Rosenberg,,
Ni tú ni nadie,Gabriel Guzmán,,
Nahui,Gerardo Tort,https://mubi.com/es/films/nahui,1
 Si yo fuera tú,Alejandro Lubezki,,
 Más allá de la herencia,Alejandro González Padilla,,
 Tod@s caen,Ariel Winograd,https://mubi.com/es/films/tod-s-caen,1
"Emma, Dios y el fútbol",Julio Bárcenas,https://mubi.com/es/films/emma-2019,0
Cómprame un revólver,Julio Hernández Cordón,https://mubi.com/es/films/buy-me-a-gun,1
Los vientos de Santa Ana,Samuel Isamu Kishi Leopo,,
La camarista,Lila Deisse Avilés Solís  Juan Carlos Márquez Cervantes,https://mubi.com/es/films/the-chambermaid-2018,1
La perla de Marina,Daniela Elena Alatorre,https://mubi.com/es/films/retreat-2019,1
Cuando cierro los ojos,Michelle Enedina,https://mubi.com/es/films/when-i-shut-my-eyes,1
"Cometa. Él, su perro y su mundo",Leonardo Arturo Domínguez,,
Gigantes descalzos,Álvaro Priante  Iván Roiz,https://mubi.com/es/films/gigantes-descalzos,1
Cantadoras. Memorias de vida y muerte en Colombia,María Fernanda Carrillo Sánchez,,
Truenos de San Juan,Santiago Maza,https://mubi.com/films/the-thunder-feast,1
