Film,Director,mubi_rating
Aztech-The Movie,"Ulises Guzmán, Fernando Campos, Alejandro Molina, Gigi Saul Guerrero, Francisco Lares-goiti, Leopoldo Laborde, Rodrigo Ordoñez, J.Xavier Velasco, Rodrigo Hernández-Cruz",[]
Azuquita,A Fernández,
Bad hombres,Juan Antonio del Monte y Rodrigo Ruiz Patterson,[]
Benigno Cruz, Jorge Hernández Aldana,
Bestia, Miguel Ángel Uriegas,['7.6']
Birth Wars, Janet Jarman,[]
Blanco de Verano, Rodrigo Ruíz Patterson,['6.5']
Caballerango, Juan Pablo González,['7.5']
Campeona sin Corona, Alan Coton,
Canción de Invierno, Silvana Lázaro,[]
Cartas a Elizabeth, Bibiana Barba,
Cerveza de Bolsillo: la magia, Alex Páramo ,
CicatrizArte, Enrique Arroyo Schroeder,
Club Internacional Aguerridos (C.I.A.), José Leandro Córdova ,[]
Comala, Gian Cassini,[]
Como caído del cielo, José Pepe Bojórquez,[]
Concierto para necios, Claudia Ruiz Capdevielle,
Contar el amor, Raúl Fuentes,
Conversaciones, Eduardo M. Clorio,[]
Coraje, Rubén Rojo Aura,
Cosas imposibles, Ernesto Contreras,['8.5']
Cosas que no hacemos, Bruno Santamaría,['7.0']
Cuidado con lo que deseas (antes Mi cumpleaños favorito)," Agustín ""Oso"" Tapia",[]
Dibujos contra las Balas, Alicia Calderón,[]
Dime tu nombre, Rolando Ávila,
Diorama, Gustavo Crivilone,[]
Undocumented Unafraid,Arturo Pulido,
Vaychiletik (Sueños),Juan Javier Pérez,[]
Vergüenza,Miguel Salgado,
Vidas en la orilla,Lucía Gajá,[]
Your iron lady,Jorge Xolalpa Jr.,
NonWestern,Laura Plancarte,[]
Octopus. 20 años en la profundidad,Armando Delgado,[]
Off the Road,José Permar,['6.7']
Ombligo,Erika Mercado,
Palabras verdaderas,Denisse Quintero,
Pole Dance,Maryse Sistach,
Quince,Jack Zagha,
"San Juanico Nextipac, fiesta y tradición",Emanuel Mechoulam,
"Sexo, pudor y lágrimas 2",Alonso Iñiguez,[]
Siberia*,Abel Ferrara,['5.9']
Siempre en presente,"Víctor Hugo, Juan Felipe y Samuel Guzmán Cuevas",
Sin pecado concebida,Gastón Rodríguez,
Sinfonía de lo invisible,José Medina,
Some Be,Héctor M. Aguilar,
Soy lo que nunca fui,Rodrigo Álvarez Flores,
"Soy yo, Charlie Monttana",Ernesto Méndez,[]
Soy Yuyé,Balam Nieto,
Sr. Árbol,Adrián “Zorgas” Saldívar,
Supernova,Natalia López,
Susurros del Ipx'yukp,Damián Martínez,
Te llevo conmigo*,Heidi Ewing,['6.7']
Tengo miedo torero*,Rodrigo Sepúlveda,['7.1']
Tepeyac. La película,Enrique Navarrete,
The infinite race,Bernardo Ruiz,[]
Tratado,Omar Velasco,
Trigal,Anabel Caso,[]
Ts'onot Crónicas de una batalla moderna,David Alcocer,
Un día a la vez,Arantxa Romo,
Un gallo congelado,Gabriel Riva Palacio Alatriste,
Una Navidad no tan padre,Raúl Martínez,
Kokoloko*,Gerardo Naranjo,['6.7']
La alberca de los nadies,José Luis Solís,
La búsqueda,Anaïs Huerta,
La libertad de Fierro,Santiago Esteinou,
La maleta de Helios,"Javier Angulo, Nacho A. Villar",[]
La muerte enajenada,Guillermo Vidal,
La productora de mi vida,Francisco Hafid Rogero,
La revuelta,Lucero González,
Las curvas de tus labios,Alex Lara,
Las historias de mi gente,André Lo Sánchez,
Las tres muertes de Marisela Escobedo*,Carlos Pérez Osorio,['7.9']
Llorando sueños,Christian Osornio,
Lopon,Everardo González,
Los amantes se despiden con la mirada,Rigoberto Perezcano,
Los años de Otto,Persia Campbell,
Los días que no estuve,Samuel Ríos y Valles,
Los que dicen ¡NO!,Ángel Froilán Flores,
"Lucinda Urrusti, pintora",Juan Francisco Urrusti,
Mamá,Juan Antonio Méndez Rodríguez,
Mañana ya no estaremos aquí,Josué Hermes,
Marino y Esmeralda,Luis R. Garza,[]
Martínez,María Lorena Padilla,
Marzo,Milton Pérez,
Menéndez. El día del Señor*,Santiago Alvarado Ilarri,[]
Mensaje interrumpido,Jaime Fraire Quiroz,
Mi novia es la revolución,Marcelino Islas,[]
Molusco,Mauricio Bidault,
Mujabä Tojk / La casa grande,Saúl Kak,
Mundos cósmicos,Sergio Tovar,[]
"Ndatu Savi, la suerte del agua","Juan Cristóbal Jasso, Ignacio Decerega",[]
Nido,Juan Pablo García,
No vayas a clase mañana,Diego Barragán,[]
Nómadas de la 57,"Alberto Arnaut, José María Castro",
25 km/h,Pitipol Ybarra,
50 o dos ballenas se encuentran en la playa,Jorge Cuchí,['6.2']
90 días para el 2 de julio,Rafael Martínez,
A través de Tola,Casandra Casasola,
Ahí te encargo*,Salvador Espinosa,[]
Alcanfores sin número,Rodrigo Mendoza,
Almas rotas,Juan Pablo Arroyo,
Amor de madre,Luis Urquiza,[]
Annette,Léos Carax,['7.4']
"Aquí no pasaba nada, la historia de Dangerous Rhythm",Pilar Ortega,
Así crecí,Jos Macías,
Cartas a distancia,Juan Carlos Rulfo,
Cartas desde el país de los tarahumaras,Federico Cecchetti,
Cónyuges,Rob Hernández,[]
Destino 111,Francisco Romero,
Donde quema el sol,Michel Franco,[]
Dos estaciones,Juan Pablo González,['7.3']
El auténtico de la costa,Juan Cristóbal Jasso,
El camino de Xico,Eric Cabello,[]
El capitán del sur,Jaime Cruz,
El director. Las siete madres de Edipo,"Carlos Reyes, León Alvarado",
El hombre búfalo,David Torres,[]
El llanto de las tortugas,Jaime Villa Galindo,
El mar entre las casas,Juan Pablo García,
El ojo de agua de Los Gálvez,"Ana Paola Rodríguez, José Luis Figueroa",
El predestinado,"José Perruccio, Mario Galván",[]
El prófugo*,Natalia Meta,['6.1']
El secreto del doctor Grinberg,Ida Cuéllar,['7.6']
El tren de los pies ligeros,Miguel Coelho,['6.9']
El viaje del kokodrit,Iván Jaripio,
El vuelo de los hombres,Giovanni Mejía,
Emboscada,René Herrera,
En el nombre del arte,Sergio Vargas,
Esquema de tiempos futuros,Víctor Checa,['6.4']
Estaciones,Edgar Salas,
Fauna*,Nicolás Pereda,['6.6']
Hazte Dios,Anne-Lise Michoud,[]
Hijo de familia,Rafael Lara,
Historias de cal y canto,Rodrigo Mendoza,
Homicidio culposo,Víctor Miranda,
Iluminados*,Jorge Curioca,
Juntas somos fuertes,Tania Claudia Castillo,
Jvabajom-Músico,Humberto Gómez,
42.195,Alejandro Strauss,
#Rats,Carlos Trujano,
*****... (Los Asteriscos...),Arturo Pons,
¡Qué viva México!,Luis Estrada,['6.5']
¿Mamá o papá?,Ernesto Contreras,[]
¿Qué culpa tiene el karma?,Elisa Miller,
¿Qué hacemos con mamá?,José Ramón Chávez Delgado,
¿Qué harás cuando Dios muera?,Hugo Villaseñor,['6.7']
¿Qué hicimos mal?,Liliana Torres,[]
37 km,Rafael Montero,
500 millones de zapatos rojos,Carlos Kaiser,
A Mutts Tale,"Bruce Morris, Patricia García Peña",['7.3']
A puerta cerrada,Javier Solórzano Casarin,
"Adiós, amor",Indra Villaseñor Amador,
Adolfo,Sofía Auza,
Adriela,Bruno Musso,
Agua de arrayán,Alejandro Robles Gil,
Agua rosa,"Antónimo (Miguel López Valdivia, Ca Silva)",[]
Al son de Beno,Ilán Lieberman,
Alebrijes,"Rodolfo Riva Palacio, Gabriel Riva Palacio",[]
Allá,Monserrat Larqué,
Allá donde nace el sol,"Laura Bermúdez, Jorge García",
Amor fantasma,Marusia Estrada,
Amores incompletos,Gilberto González Penilla,
Amparo Ochoa. Se me reventó el barzón,Modesto López,
Anónima,María Torres,
Apenas primavera,Rafael Martínez-García,
Asunción,Francisco Pérez,
Autorrey,Juan Vildósola,
Bajo el puente de oro,Raúl Quintanilla,
Bardo (o falsa crónica de unas cuantas verdades),Alejandro González Iñárritu,['6.8']
Beba,Rebeca Huntt,['7.9']
Bendita suegra,Beto Gómez,
Bering II. Encuentro familiar,Lourdes Grobet,
Besos a tres labios,Martin Casanova,
Bonanza,Luis Robledo,
Book of Love,Analeine Cal y Mayor,['4.7']
Buen salvaje,Santiago Mohar Volkow,
Caballero Águila,Alejandro Blázquez de Nicolás,
Calafia. Mujer de carne y hueso,Gabriel Fonseca Verdugo,
Campeón gabacho,Jonás Cuarón,
Cancuncito,"Carlos Alejandro Marulanda, Carlos Gutiérrez Aniceto",
Cautivo eternamente,Jonathan Sarmiento,
Con los años que me quedan,Frank Ariza,
Concierto para otras manos,Ernesto González Díaz,
Confesiones,Carlos Carrera,
Contratiempo,José Paredes,
Corina,Urzula Barba Hopfner,
Correr para vivir,Gerardo Dorantes,
Cuando sea joven,Raúl Martínez,
Cuarentones,Pietro Loprieno,
Cuatas,Cecilia Martínez García,
Dando duro,Raúl Baena Amador,
Del manantial del corazón,René Vargas Madrigal,
Desaparecer por completo,Luis Javier Henaine,
Días negros,Francisco Laresgoiti,
Dirty Feathers,Carlos Alfonso Corral,['6.7']
Distrito Olvido,Thom Díaz,[]
Donde hay agua,Lizbeth Pineda Alvarado,
El águila y el gusano,Guita Schyfter,
El canto de las moscas,Ricardo Soto,
El comediante,"Rodrigo Guardiola, Gabriel Nuncio",['5.3']
El compromiso de las sombras,Sandra Luz López Barroso,[]
El comunismo en México y el movimiento estudiantil del 68,Saudhi Batalla,
El convento franciscano de Xalapa,Gustavo Vega,
El día es largo y oscuro,Julio Hernández Cordón,
El día que me fui para ser María,Sofía Castellanos,
El día que todo cambió,Javier Colinas,
El eco,Tatiana Huezo,
El encargo de los dioses,Pedro Daniel López,
El extraño caso del fantasma claustrofóbico,Alejandro Sugich,
El gran aviso,Juan Carlos Salas,
El grosor del polvo,Jonathan Hernández,
El matrimonio de Pepe y Constanza,Santiago Mohar Volkow,
El norte sobre el vacío,Alejandra Márquez Abella,['7.5']
"El reencuentro. Moctezuma y Cortés, 500 años",Miguel Gleason,
El roomie,Pitipol Ybarra,
El sastre de la muerte,Sandra Martínez,
El silencio de mis manos,Manuel Acuña,
El sueño de ayer,Emilio Maillé,
El suplente,Diego Lerman,['7.2']
El trip,Rafael Altamira,[]
El viaje,Lucero González,
El viaje de Paty,Santiago Pedroche de Samaniego,[]
El viaje de Ximena,Pau Ortiz Rosell,
Ellas,Guadalupe Sánchez Sosa,
En primera línea,David Saez Collado,
Enfermo amor,"Marco Polo Constandse, Rodrigo Nava",
Escocia no es un banco,"Cristian Franco, Carlos Matsuo",[]
Esperanza. Las vendedoras del tren,"Carmen Ramírez Domínguez, José Antonio Ruíz Jarquín, Óscar Flores Solano",
Estación catorce,Diana Cardozo,[]
Esther sin H,Alejandra Islas,
Estoy cansado de despertarme contigo,Jesús Herrera Jaimes,
Eureka,Lisandro Alonso,
Expira,Leopoldo Laborde,
Fantasmas con armas,Alexys Mauricio Avendaño Castro,
Fantasmas y la última pesadilla,Ian Martín,
Farafangana,Lorenzo Hagerman,
Fido Fest. El rock progresivo,Allan Márquez,
Fiesta nacional,Augusto de Alba,[]
Finlandia,Horacio Alcalá,['8.3']
Flores en el valle,Ramón Llaven Zavala,
Fugas e irrupciones,Verónica Marín,
Furia roja,Hatuey Viveros,
Gilberto,Juan Aceves,
Goy,Santiago Salinas Sacre,
Goya,Pablo Orta,
Grabado en la memoria,Pablo Jato,
Háblame de ti,José Eduardo Cortés Moreno,
Hacernos así,Rafael Martínez Sánchez,
Hasta el fin del mundo,Emiliano Castro Vizcarra,
Heroico,David Zonana,
Hijas del maíz,Alfonso Gastiaburo,
"Hope, Soledad",Yolanda Cruz Cruz,[]
Huesera,Michelle Garza Cervera,['6.8']
Impostor(es),Rocko D. Márquez,
Inmersión,Nicolás Postiglione,['6.1']
Instrucciones para decir adiós,Pablo Arredondo,[]
Israel,Ernesto Baca,
Jezabel,Hernán Jabes,
Juguemos en el bosque,"Alejandra Cárdenas, Guillermo Granillo",
Karnawal,Juan Pablo Félix,['7.0']
La bruja y el demonio,Rubén Colin Gama,
La caída,Gabriel Ripstein,[]
La civil,Teodora Ana Mihai,['7.3']
La colonial,David Buitrón Fernández,
La cura es la locura,Natalia Bermúdez,
La exorcista,Adrián García Bogliano,
La gran historia de la filosofía occidental,Aria Covamonas,
La hija de todas las rabias,Laura Baumeister de Montis,
La libertad fantasma,Gastón Andrade Juárez,
La llevada y la traída,Ofelia Medina,[]
La novena infinita,"Ricardo Yahuaca Vázquez, Jazim Iván Meza Beltrán",
La novia de América,Alfonso Albacete,
La poeta del ring,Mariana Tames,
La primavera de los anacoretas,Andrés Kaiser,
La puerta verde,Guillermo García Vejar,
La recua,"Darío Higuera Meza, Trudi Angell",[]
La vida en el silencio,Rodrigo Arnaz,
La vida no vale nada,Alejandra Sánchez Orozco ,
Lalo y Luquín,Jorge Curioca,
Las hijas del viento,José de Jesús Camacho Cabrera,
Las hostilidades,M. Sebastián Molina,[]
Leonora después del pincel,Alan David Cabrera,
Ligando padre,Pitipol Ybarra,
Lluvia,Rodrigo García Saiz,
Lo contrario de la muerte,Carlo Corea,
Lo que queda en el camino,"Jakob Krese, Danilo do Carmo",[]
Lockdown Inside Me,León Alvarado Guerrero,
Los árboles mueren de pie,"Fany Fulchiron, Ronan Kerneur",
Los brujos,Christopher Murray,
Los codos de Monterrey,Gil Morales,
Los fundadores,Diego Hernández,['6.9']
Los hermosos vencidos,Guillermo Magariños,[]
Los hilos de Eva,Alma Valeria Ruiz Urbina,
Los minutos negros,Mario Muñoz,[]
Los niños invisibles (Home is Somewhere Else),"Carlos Hagerman, Jorge Villalobos",
Los plebes,"Eduardo Giralt Brun, Emmanuel Massú",['6.3']
Los sones de los tejedores,Ismael Vásquez Bernabé,
Los sueños y los días en Cuba,Jimena Perzabal,
Los vigilantes del Ródano,Gil Morales,
Luchadoras,"Paola Calvo, Patrick Jasim",[]
Luciana,Minerva Rea,
Luna,Romeo De Paz,
Luna negra,Tonatiuh García,
Malcriados,Gabriela Sobarzo,
Malvada,José Manuel Cravioto,
Mañana el fuego,Rodrigo Mendoza,
" Mariachis Son, vida y alegría",Amador Arellanos Juárez,
Mazunte,Saudhi Batalla y Eva Bodenstedt,
Me'e Sacramento,Florencia Gómez Sántiz,
Melancolía,Jorge Xolalpa,
Mi cuerpo es una estrella que se expande,Tania Hernández Velasco,
Monstruo de Xibalbá,Irene Espitia,
Mostro,José Pablo Escamilla,['7.1']
Nada que ver,Kenya Márquez,
No nos moverán,Pierre Saint-Martin Castellanos,
No quiero ser polvo,Iván Löwenberg,[]
Nogales,Roger Ellis Frazier,
Nos hicieron noche,Antonio Hernández,[]
Nunca seremos parte,Amelia Eloisa,[]
Oaxacalifornia El regreso,Trisha Ziff,
Obispo rojo,Francesco Taboada Tabone,
Ojos que no ven,Alfonso Zárate Santos,
Operación Feliz NavidadLa estafa de los duendes,Alonso Iñiguez,
Pacientes recurrentes,Mario Bogart,
Padre Pablo,José Luis Isoard,[]
Paisajes en la piel,"Pablo Chavarría Gutiérrez,Diego Amando Moreno Garza",
Pandemonium,Emmanuel Panizzo,
Para toda la vida,René Bueno,
Pasitos a la fama,Carlos Carrera,
Peligro en tu mirada,Raúl Caballero,
Pérdida total,Enrique Begné,
Peregrinación a San Antonio,Diego Graue,
Permitidos,Raúl Martínez,
Plaza Catedral,Abner Benaim,['5.8']
Pobo' Tzu',"Yollotl Alvarado Gómez,Tania Ximena Ruiz Santos",[]
Podcast,Julio César Estrada,
Pola Weiss,Alejandra Arrieta,
Polvo de gallo,Julio López Fernández,
Por favor no me abandones,Antonio Rotunno,
Por mi hija,Fernando Rodríguez,
Poseído,Javier Ruiz,
Presencias,Luis Mandoki,
Querida Nancy,Olivia Peregrino,
Reemplazables,René Olivas Gastélum,
Rock x la vida El documental,Alejandro Tavares López,
Ruido,Natalia Beristáin,[]
Sacrificios,Mauricio Chernovetzky,
San Jhonny,Arturo Pulido,
"Sangre, sudor y llaves","Guinduri Arroyo, Orlando Jiménez Ruiz",
Santuario El viaje perrote de Paty Aguirre,Christian Sida,
Semillas de pólvora,Arturo González Villaseñor,
Silencios,Gladys Lizárraga,
Sin ti no puedo,Chus Gutiérrez,['5.2']
Sirena,Miguel Ángel Contreras Pelayo,
Sleepwalk,Ricardo González Silva,
Sombría,Juan Pablo Cortés,
Sonus,Diego del Río,
Soundtrack,Humberto Abiel Garza,
Tare,"Andrea Martínez Crowther, Tenoch Huerta",
Te buscaré hasta encontrarte,Ludovic Bonleux,
Te nombré en el silencio,José María Espinosa de los Monteros,['9.0']
Tengo un sueño La película,Carlos Lara,
The Cartel Project,Jules Giraudat,[]
The Juniors y la fórmula imperial,Ricardo Tavera,[]
Todos sus muertos,Antonio Kasis,
"Tonantzin, Guadalupe",Jesús Muñoz,
Tótem,Lila Avilés,
Transition,Alejandro Torres Kennedy,[]
Travesía a los confines,Adrià Campmany Buisán,
Travesías,Sergio Flores Thorija,[]
Triangle of Sadness,Ruben Östlund,['7.6']
Trimmigrants,"David Kohan, Gustavo Anselmi",
Tú eres mi problema,Álvaro Curiel,
Tus dos muertos,Daniel Castro Zimbrón,
Tzofo,Salvador Martínez,
Un lugar llamado música,Enrique M. Rizo,[]
Un mundo mejor,Janett Juárez,
Un rincón sin cielo,Lisset Bohe,
Una jauría que se llama Ernesto,Everardo González,
Underdogs (7 to smoke Breaking la vida),Abraham Escobedo Salas,
Users,Natalia Almada,['6.5']
Va por Diego,Miguel Flatow,[]
Ventura,Gisela Cristina Delgadillo Guevara,
"Verde, azul o café",Erick Blackmer,
Vienes de noche,Jorge Michel Grau,
Jazzamoart Vivir la vida como jazz,Floria González,[]
Volveré,Carlos Salces,
Wango & Quark,Topo Gómez,
Wetiko,Kerry Mondragón,
When You Are Gone,Rafael Altamira,
Who Speaks Love?,Rafael Altamira,
XV primaveras,Chava Cartas,
Yo'on k'ox krem (Corazón de niño),Bernardino de Jesús López de la Cruz,
Yo soy Bernabé,Humberto Espinal Rivera,
Yudxi,Josué Vásquez Martínez,
Yurei,Sumie García,
Zona norte,Javier Ávila,